ItemLink,Price,Name,Image,Condition,Screen Size,Memory,Release Year,Bundle Listing,Product Family,Storage Type,Brand,Hard Drive Capacity,Processor Type,Operating System,Processor Speed,Color,Seller Notes,Type,MPN,Product Line,Model,Graphics Processing Type,Features,Country/Region of Manufacture,Hardware Connectivity,UPC,Operating System Edition,For Laptop Brand,SSD Capacity,Country of Manufacture,Video Adapter,Optical Drive,Colour,Memory (RAM),Processor Configuration,Warranty,Manufacturer,Item Location,DVD/CD-RW,Wifi,EAN,GPU/Video Card,Ports/Interfaces,Height,Length,Width,Weight,Dimensions,Label,Binding,ProductGroup,ISBN,HDD Caddy,Battery,Power Supply,Processor,Serial Number,Brand Name,Item Weight,Graphics Coprocessor,ISKU,Title,Primary Drive,Model No.,Model ID,Bundle,Screen Resolution,Resolution,Display Size,Display Type,Form Factor Type,Storage Capacity,Drive Type,RAM Memory,Graphics Card,Processor Manufacturer,Intel Processor Generation,Wireless Type,Series,RAM,Product Dimensions,Hard Drive,Processor Count,Card Description,Computer Memory Type,Contract,Manufacturer Part Number,License,From Factor,Keyboard Bezel Touchpad,Battery AC Adapter,Condition Note,Condition Description,SKU,Shell Condition,Hard Drive CD DVD,CF-30 / CF 31 CADDY GENUINE,Release Date_Display,Keyboard,Connectivity,PCI express slot SSD available,RAM upgrade (email us),Storage capacity,WiFi,Touch Screen Function,AC Adapter,Number of Cores,Form Factor,Adapter,Condition Grade,Drive Capacity,Bundled Items,Compatible Brand,Compatible Product Line,Advanced Features,Wireless Card,Hard Drive Caddy,EBAY_CATEGORY_ID,Hard Drive 1,Optical,Processor Model,Product Model,Product Type,Item Condition,Keyboard Type,Bluetooth,LCD Screen type
http://www.ebay.com/itm/Toshiba-Satellite-C55D-B5308-15-6-Laptop-PC-AMD-E1-1200-1GHz-4GB/192326207714?hash=item2cc78908e2%3Ag%3AO7kAAOSwwrtZ1u-M,$42.25,"Toshiba Satellite C55D-B5308 15.6"" Laptop PC AMD E1-1200 1GHz 4GB",https://i.ebayimg.com/images/g/O7kAAOSwwrtZ1u-M/s-l300.jpg,Used,,4GB,,,,,Toshiba,4GB,,,1.00GHz,,,,,Satellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/MSI-APACHE-GE72-2QD-17-INCH-GAMING-LAPTOP-GEFORCE-GTX-960M/192326208333?hash=item2cc7890b4d%3Ag%3AIPIAAOSw6HJZ1wOC,$700.00,MSI APACHE GE72 2QD 17 INCH GAMING LAPTOP GEFORCE GTX 960M,https://i.ebayimg.com/images/g/IPIAAOSw6HJZ1wOC/s-l300.jpg,Used,"17""",16MB,2015,,,HDD + SSD,MSI,,Intel Core i7 5th Gen.,Windows 10,2.70GHz,,,,,,,Hybrid Graphics,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/ACER-ASPIRE-9300-4272-DVD-RW-SUPER-MULTI-DRIVE-UJ-850/192326272484?hash=item2cc78a05e4%3Am%3Ammx_fwi0sm80zI-vofBCXOg,$15.91,ACER ASPIRE 9300-4272 DVD/RW SUPER MULTI DRIVE UJ-850 ,"https://i.ebayimg.com/images/a/(KGrHqF,!hkE4563On1nBOQkDl5Mq!~~/s-l300.jpg",Used,,,,,,,Acer,,,,,,In excellent working condition!,,,Aspire,9300,,,,,,,ACER ASPIRE 9300-4272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Dell-Latitude-E5430-Intel-Core-I5-3360M-2-8Ghz-CPU-4GB-RAM-320GB/192326516086?hash=item2cc78dbd76%3Ag%3A9IQAAOSw5ShZ0j%7Ex,$240.00,Dell Latitude E5430 - Intel Core I5-3360M 2.8Ghz CPU 4GB RAM 320GB ,https://i.ebayimg.com/images/g/9IQAAOSw5ShZ0j~x/s-l300.jpg,Manufacturer refurbished,14in.,4GB,,,,HDD (Hard Disk Drive),Dell,320GB,Intel Core i5 4th Gen.,,3.40GHz,Gray,,Notebook/Laptop,1TTZLX1,Latitude,E5430,Integrated/On-Board Graphics,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Dell-XPS-12-5-Touch-Screen-Convertible-Ultrabook-Intel-Core-i5-3427U-4GB-128GB/192326516880?hash=item2cc78dc090%3Ag%3APdUAAOSwopRYf7Mt,$255.00,"Dell XPS 12.5"" Touch Screen Convertible Ultrabook Intel Core i5-3427U 4GB 128GB",https://i.ebayimg.com/images/g/PdUAAOSwopRYf7Mt/s-l300.jpg,Used,12.5in.,4GB,,,,SSD (Solid State Drive),Dell,,Intel Core i5 3rd Gen ( 3427U ),Windows 8.1 PRO 64-bit,1.8GHz,,Minor Glass blemishes,Convertible 2-in-1 Laptop/Tablet,9Q23,XPS,XPS 12,INTEL HD,"Backlit Keyboard, Built-in Webcam",,,,,,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Samsung-ATIV-Book-9-Lite-13-3-Ultrabook-1-4GHz-QUAD-CORE-4GB-Ram-128GB-SSD/192326570582?hash=item2cc78e9256%3Ag%3ArXEAAOSwo4pYNcMb,$262.90,"Samsung ATIV Book 9 Lite 13.3"" Ultrabook - 1.4GHz QUAD-CORE, 4GB Ram, 128GB SSD",https://i.ebayimg.com/images/g/rXEAAOSwo4pYNcMb/s-l300.jpg,Seller refurbished,,4GB,,,,,Samsung,128GB,,,1.40GHz,,"90 Day Warranty - These Computers have been Refurbished by Certified Technicians (Reformatted, Optimized, Cleaned & Sanitized). Hard drives wiped and Windows 10 Pro freshly installed. Excellent physical condition: minor surface scratches/scuffs may exist on the outer casing. Comes with Genuine SAMSUNG Power Adapter.",Ultrabook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Dell-Inspiron-3520-5411/192326584778?hash=item2cc78ec9ca%3Ag%3AYKQAAOSwTglYlijt,$249.00,Dell Inspiron 3520 *5411,https://i.ebayimg.com/images/g/YKQAAOSwTglYlijt/s-l300.jpg,Used,,,,,,,Dell,,,,,,Works 100%,,,Inspiron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Lenovo-ThinkPad-X120e-320GB-4GB-RAM-1-6-GHz-WIN-8-1-with-Extras/192326623403?epid=133445504&hash=item2cc78f60ab%3Ag%3ApkkAAOSw1CNZ0Qeo,$95.95,Lenovo ThinkPad X120e | 320GB | 4GB RAM | 1.6 GHz | WIN 8.1 with Extras,https://i.ebayimg.com/images/g/pkkAAOSw1CNZ0Qeo/s-l300.jpg,Used,11.6in.,4GB,,,,HDD (Hard Disk Drive),Lenovo,320GB,,Windows Vista,,Black,Good Condition with minor abrasions from normal use.  See actual photos.,Notebook/Laptop,05962RU,ThinkPad,X120e,Integrated/On-Board Graphics,,,,0645743004740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Dell-Latitude-E5400-Laptop-w-Core-2-Duo-Processor-No-HDD-No-RAM-Bad-Screen/192326625043?hash=item2cc78f6713%3Ag%3AENgAAOSw9YNZqwNT,$39.95,"Dell Latitude E5400 Laptop w/ Core 2 Duo Processor, No HDD, No RAM, Bad Screen",https://i.ebayimg.com/images/g/ENgAAOSw9YNZqwNT/s-l300.jpg,For parts or not working,14.1in.,,,,,,Dell,,,,,Black,"Powers On, Bad Screen",Notebook/Laptop,E5400,Latitude,Latitude E5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Dell-14-1-30-GB-Intel-Celeron-M-1-4-GHz-Notebook-Max-RAM-Installed-1-24GB/192326645510?hash=item2cc78fb706%3Ag%3APKIAAOSwrklVGXN2,$31.50,"Dell 14.1"" (30 GB, Intel Celeron M, 1.4 GHz) Notebook Max RAM Installed - 1.24GB",https://i.ebayimg.com/images/g/PKIAAOSwrklVGXN2/s-l300.jpg,Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
